"R0","qq","gammaa","gammap","cincres","cinc","clinc","AWT","AWT2"
2.25,0.1,0.25,0.25,6.38502477026291,18209.0864140293,24448.6121840706,1.75,"1.75 days"
2.25,0.1,0.25,0.25,5.37935543506476,16537.5994735172,23081.7110683131,2.1,"2.1 days"
2.25,0.1,0.25,0.25,4.64223191367,15144.8154198867,21941.7547980689,2.45,"2.45 days"
2.25,0.1,0.25,0.25,4.0795437639097,13966.962069698,20977.0713173995,2.8,"2.8 days"
2.25,0.1,0.25,0.25,3.6363894554147,12958.1850384245,20150.4281316149,3.15,"3.15 days"
2.25,0.1,0.25,0.25,3.27865105433588,12084.6973330455,19434.333512759,3.5,"3.5 days"
2.25,0.1,0.25,0.25,2.98399334820031,11321.1125918417,18808.1091496037,3.85,"3.85 days"
2.25,0.1,0.25,0.25,2.73721647218702,10647.9967791995,18255.9102969949,4.2,"4.2 days"
2.25,0.1,0.25,0.25,2.52760327253347,10050.2206984941,17765.3882097566,4.55,"4.55 days"
2.25,0.1,0.25,0.25,2.34742829854803,9515.83962757789,17326.7863142215,4.9,"4.9 days"
2.25,0.1,0.25,0.25,2.19093419340039,9035.29925967685,16932.2950552373,5.25,"5.25 days"
2.25,0.1,0.25,0.25,2.05377153818289,8600.87093741085,16575.5955212343,5.6,"5.6 days"
2.25,0.1,0.25,0.25,1.93259756011783,8206.23139243739,16251.5129872573,5.95,"5.95 days"
2.25,0.1,0.25,0.25,1.82478338825784,7846.16562496227,15955.7818175733,6.3,"6.3 days"
2.25,0.1,0.25,0.25,1.72825300435955,7516.32699420602,15684.8426583413,6.65,"6.65 days"
2.25,0.1,0.25,0.25,1.6413285367093,7213.06787794354,15435.7083610353,7,"7 days"
2.25,0.15,0.25,0.25,7212.90924038422,15016.6131945913,17489.0879319655,0,"0 days"
2.25,0.15,0.25,0.25,1111.88025604121,16629.5052270013,20183.5983840456,0.35,"0.35 days"
2.25,0.15,0.25,0.25,120.770374165647,17600.6641288533,21897.425060678,0.7,"0.7 days"
2.25,0.15,0.25,0.25,33.5854474173528,17080.5236050205,21951.2075007733,1.05,"1.05 days"
2.25,0.15,0.25,0.25,16.5918144820141,16101.8336825623,21443.4334568213,1.4,"1.4 days"
2.25,0.15,0.25,0.25,10.7387327763235,15049.268902897,20780.5232251758,1.75,"1.75 days"
2.25,0.15,0.25,0.25,7.93953555914548,14045.4903029618,20102.5485743804,2.1,"2.1 days"
2.25,0.15,0.25,0.25,6.31650069843226,13126.4356685626,19459.0541339103,2.45,"2.45 days"
2.25,0.15,0.25,0.25,5.25636061448454,12297.5883724241,18865.8696327434,2.8,"2.8 days"
2.25,0.15,0.25,0.25,4.50750421424448,11553.7157277351,18325.6088764187,3.15,"3.15 days"
2.25,0.15,0.25,0.25,3.9489613231276,10886.2539242087,17835.69810598,3.5,"3.5 days"
2.25,0.15,0.25,0.25,3.51554732858382,10286.1647108917,17391.7194608931,3.85,"3.85 days"
2.25,0.15,0.25,0.25,3.16895390614272,9745.0397231212,16988.8824904188,4.2,"4.2 days"
2.25,0.15,0.25,0.25,2.88518459970171,9255.3931032387,16622.5559395598,4.55,"4.55 days"
2.25,0.15,0.25,0.25,2.64842337013488,8810.73039642961,16288.5297509269,4.9,"4.9 days"
2.25,0.15,0.25,0.25,2.44778333159861,8405.4699167254,15983.0688523095,5.25,"5.25 days"
2.25,0.15,0.25,0.25,2.27552920417308,8034.83252721992,15702.9015200104,5.6,"5.6 days"
2.25,0.15,0.25,0.25,2.12598839958724,7694.72941083238,15445.1816567797,5.95,"5.95 days"
2.25,0.15,0.25,0.25,1.9949261308708,7381.66055155524,15207.4449690132,6.3,"6.3 days"
2.25,0.15,0.25,0.25,1.87910460980862,7092.60678145664,14987.5332573975,6.65,"6.65 days"
2.25,0.15,0.25,0.25,1.77599749303475,6824.97399612495,14783.583970245,7,"7 days"
2.25,0.2,0.25,0.25,122.216882881588,2985.34628887552,6253.84009454805,0,"0 days"
2.25,0.2,0.25,0.25,1028.68436284589,4428.33365562428,7744.38027251499,0.35,"0.35 days"
2.25,0.2,0.25,0.25,2279.62339767378,6661.73117039526,10113.1682463956,0.7,"0.7 days"
2.25,0.2,0.25,0.25,1390.84976005077,8136.31092296575,12020.4041807894,1.05,"1.05 days"
2.25,0.2,0.25,0.25,308.58932273597,9558.0004023149,14031.1224560928,1.4,"1.4 days"
2.25,0.2,0.25,0.25,70.0957290515078,10410.7080853821,15386.6043449185,1.75,"1.75 days"
2.25,0.2,0.25,0.25,25.7488937589123,10608.5614502802,15991.1223086473,2.1,"2.1 days"
2.25,0.2,0.25,0.25,13.6547801485952,10466.1235890301,16185.6372035742,2.45,"2.45 days"
2.25,0.2,0.25,0.25,8.99241398198497,10168.6936117965,16172.993462163,2.8,"2.8 days"
2.25,0.2,0.25,0.25,6.69720010930905,9806.34919938322,16054.9729532802,3.15,"3.15 days"
2.25,0.2,0.25,0.25,5.36297064317101,9423.30058099058,15884.0502410319,3.5,"3.5 days"
2.25,0.2,0.25,0.25,4.4942905774183,9041.60656901419,15688.3521871387,3.85,"3.85 days"
2.25,0.2,0.25,0.25,3.88222360730865,8672.24437540996,15483.4612359212,4.2,"4.2 days"
2.25,0.2,0.25,0.25,3.4259412576681,8320.36893296692,15278.0897425251,4.55,"4.55 days"
2.25,0.2,0.25,0.25,3.07133437289275,7988.05893958695,15077.1261733173,4.9,"4.9 days"
2.25,0.2,0.25,0.25,2.7869197574377,7675.71760027044,14883.217530174,5.25,"5.25 days"
2.25,0.2,0.25,0.25,2.55312898861344,7382.87273078977,14697.7149867217,5.6,"5.6 days"
2.25,0.2,0.25,0.25,2.35716387970005,7108.58482605921,14521.1663009869,5.95,"5.95 days"
2.25,0.2,0.25,0.25,2.19025640962716,6851.72382085043,14353.6812622485,6.3,"6.3 days"
2.25,0.2,0.25,0.25,2.04621754424624,6611.07652237949,14195.0756924448,6.65,"6.65 days"
2.25,0.2,0.25,0.25,1.92051447662094,6385.44386854369,14045.021023829,7,"7 days"
2.25,0.25,0.25,0.25,7.20302577409667,1725.21563580796,5019.58817770843,0,"0 days"
2.25,0.25,0.25,0.25,12.2018618623568,1912.74222986233,5270.27469964352,0.35,"0.35 days"
2.25,0.25,0.25,0.25,38.5324806703707,2186.20222576468,5622.6675508449,0.7,"0.7 days"
2.25,0.25,0.25,0.25,167.636223711111,2662.438006601,6203.94662135761,1.05,"1.05 days"
2.25,0.25,0.25,0.25,467.035729371543,3493.88759819574,7195.84979503599,1.4,"1.4 days"
